"Log-ratio"	"p-value"	"minFDR"	"Gene Symbol"	"Gene"	"Measure"	"Description"
6.814631462097168	3.3388182916692185E-9	1.327448596794347E-6	"LTI78"	"AT5G52310"	"248337_at"	"Low-temperature-induced 78 kDa protein [Source:UniProtKB/Swiss-Prot;Acc:Q06738]"
6.786504745483398	3.531683628912824E-8	6.978565115713943E-6	"PUB19"	"AT1G60190"	"264217_at"	"U-box domain-containing protein 19 [Source:UniProtKB/Swiss-Prot;Acc:O80742]"
6.3586320877075195	3.479856395089022E-6	1.7060473979176006E-4	"DREB2A"	"AT5G05410"	"250781_at"	"Dehydration-responsive element-binding protein 2A [Source:UniProtKB/Swiss-Prot;Acc:O82132]"
6.330071449279785	6.2778899437501825E-6	2.602990538573147E-4	"COR15A"	"AT2G42540"	"263497_at"	"Protein COLD-REGULATED 15A, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42512]"
6.250135898590088	1.0331486085728861E-5	3.8030438962764637E-4	"ERF054"	"AT4G28140"	"253799_at"	"Ethylene-responsive transcription factor ERF054 [Source:UniProtKB/Swiss-Prot;Acc:Q9M0J3]"
6.233808517456055	2.9875382643827446E-6	1.531439466138157E-4	"NAC019"	"AT1G52890"	"260203_at"	"NAC domain-containing protein 19 [Source:UniProtKB/Swiss-Prot;Acc:Q9C932]"
5.996527671813965	2.0405922688428986E-10	1.7507496823491746E-7	""	"AT1G61340"	"264758_at"	""
5.874179840087891	7.394057363101106E-6	2.977242555933147E-4	"COR15B"	"AT2G42530"	"263495_at"	"Protein COLD-REGULATED 15B, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SIN5]"
5.834989547729492	2.9230359652109585E-7	2.8922003372356903E-5	"ERF053"	"AT2G20880"	"265418_at"	"Ethylene-responsive transcription factor ERF053 [Source:UniProtKB/Swiss-Prot;Acc:Q9SKT1]"
5.761407852172852	5.721545524165335E-7	4.542011245820503E-5	"PXG3"	"AT2G33380"	"255795_at"	"Probable peroxygenase 3 [Source:UniProtKB/Swiss-Prot;Acc:O22788]"
5.366164207458496	4.8349408875658766E-8	8.426017685854063E-6	"PCFS1,PCFS5"	"AT1G66500,AT5G43620"	"256356_s_at"	"PCFS1:Polyadenylation and cleavage factor homolog 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C710], PCFS5:Polyadenylation and cleavage factor homolog 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9FIX8]"
5.31564998626709	1.1665169636725688E-8	3.21253011217827E-6	"NCED3"	"AT3G14440"	"257280_at"	"9-cis-epoxycarotenoid dioxygenase NCED3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LRR7]"
5.013210296630859	2.683812369920677E-10	1.9312194366393723E-7	"ERD10"	"AT1G20450"	"259516_at"	"Dehydrin ERD10 [Source:UniProtKB/Swiss-Prot;Acc:P42759]"
4.971734046936035	8.652142839730002E-10	5.361204175718254E-7	""	"AT1G15010"	"260744_at"	""
