"Log-ratio"	"p-value"	"minFDR"	"Gene Symbol"	"Gene"	"Measure"	"Description"
8.190884470939636	1.8625298428393321E-7	4.6797332945163396E-5	"DIN11"	"AT3G49620"	"AT3G49620"	"Probable 2-oxoglutarate-dependent dioxygenase DIN11 [Source:UniProtKB/Swiss-Prot;Acc:Q8H113]"
8.180787980556488	3.3226009574132256E-7	5.0465488610095586E-5	"PDF1.1"	"AT1G75830"	"AT1G75830"	"Defensin-like protein 13 [Source:UniProtKB/Swiss-Prot;Acc:P30224]"
7.616129159927368	4.0268987819508794E-7	5.0465488610095586E-5	"ACT"	"AT5G61160"	"AT5G61160"	"Agmatine coumaroyltransferase [Source:UniProtKB/Swiss-Prot;Acc:Q9FNP9]"
7.608452796936035	1.5376654129208066E-7	4.6398392643253826E-5	"CYP71B15"	"AT3G26830"	"AT3G26830"	"Bifunctional dihydrocamalexate synthase/camalexin synthase [Source:UniProtKB/Swiss-Prot;Acc:Q9LW27]"
7.446801781654358	2.4688639117331166E-6	9.050599794354525E-5	"ABCG40"	"AT1G15520"	"AT1G15520"	"ABC transporter G family member 40 [Source:UniProtKB/Swiss-Prot;Acc:Q9M9E1]"
7.312185764312744	4.621689627272368E-6	1.1975782538848919E-4	"PER37"	"AT4G08770"	"AT4G08770"	"Peroxidase 37 [Source:UniProtKB/Swiss-Prot;Acc:Q9LDN9]"
7.271969676017761	1.740377129186782E-6	7.885042676019541E-5	""	"AT4G16260"	"AT4G16260"	""
7.061551809310913	3.297347924525105E-8	4.4738026351729403E-5	""	"AT1G26380"	"AT1G26380"	""
6.938503742218018	1.430876288409108E-7	4.6398392643253826E-5	"PXMT1"	"AT1G66700"	"AT1G66700"	"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:TAIR;Acc:AT1G66700]"
6.901199579238892	1.83062444503013E-7	4.6797332945163396E-5	"CYP71A13"	"AT2G30770"	"AT2G30770"	"cytochrome P450, family 71, subfamily A, polypeptide 13 [Source:TAIR;Acc:AT2G30770]"
6.893334150314331	3.1163988089384086E-6	1.0002278421864228E-4	"PRXIIC"	"AT1G65970"	"AT1G65970"	"Peroxiredoxin-2C [Source:UniProtKB/Swiss-Prot;Acc:Q9SRZ4]"
6.850855827331543	2.664582159066352E-7	5.024655419222419E-5	"GSTU4"	"AT2G29460"	"AT2G29460"	"Glutathione S-transferase U4 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZW27]"
6.618439316749573	2.8322265971484484E-6	9.630437438446708E-5	"YLS9"	"AT2G35980"	"AT2G35980"	"Protein YLS9 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJ52]"
6.578352928161621	5.079752051833587E-6	1.2529428395503377E-4	""	"AT3G22600"	"AT3G22600"	""
6.40423309803009	1.0816879476177667E-4	7.622137339493939E-4	"WRKY75"	"AT5G13080"	"AT5G13080"	"Probable WRKY transcription factor 75 [Source:UniProtKB/Swiss-Prot;Acc:Q9FYA2]"
6.40125298500061	3.364068632203004E-5	3.555783822544418E-4	"PDF1.2C"	"AT5G44430"	"AT5G44430"	"Defensin-like protein 17 [Source:UniProtKB/Swiss-Prot;Acc:Q9FI22]"
6.344767808914185	6.431555794446403E-7	5.7458105559875996E-5	"MPT2"	"AT3G48850"	"AT3G48850"	"Mitochondrial phosphate carrier protein 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9M2Z8]"
6.153081014752388	6.097758591898255E-5	5.19395420339088E-4	"CYP710A1"	"AT2G34500"	"AT2G34500"	"Cytochrome P450 710A1 [Source:UniProtKB/Swiss-Prot;Acc:O64697]"
6.147312164306641	4.1893370299073853E-7	5.0580173133189785E-5	"LAL5"	"AT3G23550"	"AT3G23550"	"MATE efflux family protein LAL5 [Source:UniProtKB/Swiss-Prot;Acc:Q9LUH3]"
6.146700382232666	8.935351317482693E-7	6.250840042851487E-5	""	"AT1G59950"	"AT1G59950"	""
6.098458170890808	2.203369938219658E-7	4.9947548606322223E-5	"ACA12"	"AT3G63380"	"AT3G63380"	"Calcium-transporting ATPase 12, plasma membrane-type [Source:UniProtKB/Swiss-Prot;Acc:Q9LY77]"
6.002698540687561	6.149611677531804E-6	1.37072581893239E-4	""	"AT1G57630"	"AT1G57630"	""
5.873969078063965	3.8063514617834244E-7	5.0465488610095586E-5	"ERF098"	"AT3G23230"	"AT3G23230"	"Ethylene-responsive transcription factor ERF098 [Source:UniProtKB/Swiss-Prot;Acc:Q9LTC5]"
5.8488189578056335	1.075814668092543E-5	1.837487041765649E-4	""	"AT2G23270"	"AT2G23270"	""
5.8451151847839355	5.7166501448745076E-6	1.3192239112025847E-4	"PER33"	"AT3G49110"	"AT3G49110"	"Peroxidase 33 [Source:UniProtKB/Swiss-Prot;Acc:P24101]"
5.835475564002991	2.7969987451883146E-6	9.607699566935199E-5	""	"AT5G38900"	"AT5G38900"	""
5.810457706451416	1.0067111919284744E-4	7.245499913970107E-4	""	"AT3G11340"	"AT3G11340"	""
5.784193992614746	8.905252796152871E-7	6.250840042851487E-5	"LEC"	"AT3G15356"	"AT3G15356"	"Lectin-like protein LEC [Source:UniProtKB/Swiss-Prot;Acc:Q9LJR2]"
5.771537780761719	5.897947802847421E-7	5.739635059664147E-5	""	"AT3G54150"	"AT3G54150"	""
5.750771760940552	3.839130453730524E-5	3.870678528594463E-4	"UGT73B4"	"AT2G15490"	"AT2G15490"	"UDP-glycosyltransferase 73B4 [Source:UniProtKB/Swiss-Prot;Acc:Q7Y232]"
5.733996868133545	9.054173809767937E-8	4.6398392643253826E-5	"GSTF7"	"AT1G02920"	"AT1G02920"	"Glutathione S-transferase F7 [Source:UniProtKB/Swiss-Prot;Acc:Q9SRY5]"
5.672760367393494	1.0421120285851064E-5	1.807719892167699E-4	""	"AT2G43590"	"AT2G43590"	""
