"Log-ratio"	"p-value"	"minFDR"	"MSU Locus"	"Gene"	"Measure"	"Description"
8.699519157409668	5.529567861357705E-8	2.245005807191052E-4	"LOC_Os08g36920"	"LOC_Os08g36920"	"OsAffx.17366.1.S1_at"	"AP2 domain containing protein, expressed"
8.361763000488281	1.5868305009699412E-8	2.245005807191052E-4	"LOC_Os01g72360"	"LOC_Os01g72360"	"Os.12498.2.S1_at"	"expressed protein"
7.854966163635254	4.528501458872777E-5	0.0030626256033097297	"LOC_Os04g23550"	"LOC_Os04g23550"	"Os.6043.1.S1_at"	"basic helix-loop-helix family protein, putative, expressed"
7.232769012451172	1.714505303555719E-7	2.656010422235301E-4	"LOC_Os08g07630"	"LOC_Os08g07630"	"OsAffx.29084.2.S1_x_at"	"expressed protein"
7.034051895141602	3.9295387280716205E-7	2.976865253977845E-4	"LOC_Os02g52670"	"LOC_Os02g52670"	"Os.54944.1.S1_at"	"AP2 domain containing protein, expressed"
6.7650861740112305	3.370886002893494E-8	2.245005807191052E-4	"LOC_Os02g17060,LOC_Os02g17000"	"LOC_Os02g17000,LOC_Os02g17060"	"Os.57054.1.S1_at"	"LOC_Os02g17060:OsSub15 - Putative Subtilisin homologue, expressed, LOC_Os02g17000:OsSub14 - Putative Subtilisin homologue, expressed"
6.723455429077148	2.060026325324582E-8	2.245005807191052E-4	"LOC_Os12g41510"	"LOC_Os12g41510"	"OsAffx.20077.1.S1_at"	"cysteine-rich receptor-like protein kinase 31 precursor, putative, expressed"
6.631748199462891	3.105508095493997E-7	2.976865253977845E-4	"LOC_Os02g45450"	"LOC_Os02g45450"	"Os.51078.1.S1_at"	"dehydration-responsive element-binding protein, putative, expressed"
6.5699310302734375	6.794840683553813E-6	9.751788458212626E-4	"LOC_Os10g25230"	"LOC_Os10g25230"	"Os.46849.1.S1_at"	"ZIM domain containing protein, putative, expressed"
6.50987434387207	8.560180287813768E-7	4.001517419683459E-4	"LOC_Os03g13740"	"LOC_Os03g13740"	"Os.6244.1.S1_at"	"immediate-early fungal elicitor protein CMPG1, putative, expressed"
6.487486839294434	1.4523907343269076E-7	2.5076482756972325E-4	"LOC_Os06g33080"	"LOC_Os06g33080"	"Os.11554.1.S1_at"	"peroxidase precursor, putative, expressed"
6.4380903244018555	1.8923715894462518E-7	2.656010422235301E-4	"LOC_Os10g28170,LOC_Os10g28160"	"LOC_Os10g28160,LOC_Os10g28170"	"OsAffx.18426.1.S1_x_at"	"LOC_Os10g28170:expressed protein, LOC_Os10g28160:expressed protein"
