"Log-ratio"	"p-value"	"minFDR"	"MSU Locus"	"Gene"	"Measure"	"Description"
7.72726035118103	9.732219671490293E-10	7.787336949994907E-7	"LOC_Os01g40290"	"LOC_Os01g40290"	"LOC_Os01g40290"	"expressed protein"
7.701501131057739	1.4519255874750973E-17	6.085310522225627E-13	"LOC_Os01g52130"	"LOC_Os01g52130"	"LOC_Os01g52130"	"sulfate transporter, putative, expressed"
7.283346176147461	5.29383888385199E-13	4.437507506000092E-9	"LOC_Os06g46500"	"LOC_Os06g46500"	"LOC_Os06g46500"	"monocopper oxidase, putative, expressed"
6.8017966747283936	0.00851972100612824	0.03948673524370749	"LOC_Os04g56430"	"LOC_Os04g56430"	"LOC_Os04g56430"	"cysteine-rich receptor-like protein kinase, putative, expressed"
6.624277114868164	0.007650853944043079	0.0363480605874783	"LOC_Os04g49194"	"LOC_Os04g49194"	"LOC_Os04g49194"	"naringenin,2-oxoglutarate 3-dioxygenase, putative, expressed"
6.600212633609772	4.115663141951781E-5	6.547026428710299E-4	"LOC_Os05g27590"	"LOC_Os05g27590"	"LOC_Os05g27590"	"wound-induced protein WI12, putative, expressed"
6.310184717178345	1.908678587113907E-11	4.87342801032571E-8	"LOC_Os01g41240"	"LOC_Os01g41240"	"LOC_Os01g41240"	"hydrolase, alpha/beta fold family domain containing protein, expressed"
6.226915597915649	1.1476513009147407E-7	1.2270500337739441E-5	"LOC_Os06g37080"	"LOC_Os06g37080"	"LOC_Os06g37080"	"L-ascorbate oxidase precursor, putative, expressed"
6.143072605133057	9.625268064541712E-8	1.097471294309527E-5	"LOC_Os05g39200"	"LOC_Os05g39200"	"LOC_Os05g39200"	"expressed protein"
6.020496606826782	5.971226462812634E-6	1.695569400470211E-4	"LOC_Os02g48570"	"LOC_Os02g48570"	"LOC_Os02g48570"	"peptide transporter PTR2, putative, expressed"
5.913517475128174	0.0010787973338444547	0.007637593556771754	"LOC_Os07g34520"	"LOC_Os07g34520"	"LOC_Os07g34520"	"isocitrate lyase, putative, expressed"
5.798685789108276	1.2756686507156361E-11	4.112755729907211E-8	"LOC_Os11g01480"	"LOC_Os11g01480"	"LOC_Os11g01480"	"MYB family transcription factor, putative, expressed"
5.536027431488037	2.9159373851177966E-4	0.002755643014319213	"LOC_Os03g03034"	"LOC_Os03g03034"	"LOC_Os03g03034"	"flavonol synthase/flavanone 3-hydroxylase, putative, expressed"
5.4312766790390015	0.0012603992901225392	0.008627446520923707	"LOC_Os03g12510"	"LOC_Os03g12510"	"LOC_Os03g12510"	"non-symbiotic hemoglobin 2, putative, expressed"
5.4251720905303955	1.1723226122255095E-5	2.739675540556643E-4	"LOC_Os01g10110"	"LOC_Os01g10110"	"LOC_Os01g10110"	"cytokinin dehydrogenase precursor, putative, expressed"
5.419447898864746	2.9027125232947244E-11	5.919296856657048E-8	"LOC_Os12g01490"	"LOC_Os12g01490"	"LOC_Os12g01490"	"MYB family transcription factor, putative, expressed"
5.2562336921691895	4.912973257641428E-5	7.380377604812457E-4	"LOC_Os05g02200"	"LOC_Os05g02200"	"LOC_Os05g02200"	"cysteine-rich repeat secretory protein 55 precursor, putative, expressed"
5.061312198638916	7.934464911698123E-12	2.771244111492431E-8	"LOC_Os05g41580"	"LOC_Os05g41580"	"LOC_Os05g41580"	"calcium-transporting ATPase, plasma membrane-type, putative, expressed"
5.031934320926666	0.004121586489188299	0.02213247058742601	"LOC_Os10g26940"	"LOC_Os10g26940"	"LOC_Os10g26940"	"BURP domain containing protein, expressed"
5.006911277770996	8.009184555831852E-5	0.0010476933305369055	"LOC_Os03g57200"	"LOC_Os03g57200"	"LOC_Os03g57200"	"glutathione S-transferase, putative, expressed"
5.001023530960083	3.1602722710135956E-4	0.002927145445806007	"LOC_Os05g39770"	"LOC_Os05g39770"	"LOC_Os05g39770"	"aminotransferase, putative, expressed"
4.965470790863037	1.0246186388041786E-4	0.0012523714315999049	"LOC_Os03g37840"	"LOC_Os03g37840"	"LOC_Os03g37840"	"potassium transporter, putative, expressed"
