"Log-ratio"	"p-value"	"minFDR"	"MSU Locus"	"Gene"	"Measure"	"Description"
9.515512466430664	8.082395180670656E-11	3.024547739395255E-8	"LOC_Os03g61160"	"LOC_Os03g61160"	"LOC_Os03g61160"	"expressed protein"
8.540301971137524	2.939788045412166E-8	1.3407224870436856E-6	"LOC_Os05g47730"	"LOC_Os05g47730"	"LOC_Os05g47730"	"LTPL153 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
8.040434539318085	5.046245493138081E-7	9.746462723889552E-6	"LOC_Os04g33920"	"LOC_Os04g33920"	"LOC_Os04g33920"	"LTPL102 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
7.565739274024963	1.9546734113050438E-8	1.013914257606646E-6	"LOC_Os11g26790"	"LOC_Os11g26790"	"LOC_Os11g26790"	"dehydrin, putative, expressed"
7.339515209197998	4.066016070328867E-11	1.9587915579267065E-8	"LOC_Os01g68290"	"LOC_Os01g68290"	"LOC_Os01g68290"	"expressed protein"
7.242819562554359	1.830351515458429E-5	1.624257732710008E-4	"LOC_Os07g34520"	"LOC_Os07g34520"	"LOC_Os07g34520"	"isocitrate lyase, putative, expressed"
7.146845728158951	2.622290749332848E-10	6.13948244087012E-8	"LOC_Os03g17790"	"LOC_Os03g17790"	"LOC_Os03g17790"	"OsRCI2-5 - Putative low temperature and salt responsive protein, expressed"
7.054062783718109	4.2772505401877897E-7	8.631108552737152E-6	"LOC_Os12g24020"	"LOC_Os12g24020"	"LOC_Os12g24020"	"rhodanese-like domain containing protein, putative, expressed"
7.0463409423828125	5.13867356414222E-8	1.94906865538759E-6	"LOC_Os11g43790"	"LOC_Os11g43790"	"LOC_Os11g43790"	"DUF581 domain containing protein, expressed"
6.867854595184326	3.901822571205555E-11	1.9587915579267065E-8	"LOC_Os07g10840"	"LOC_Os07g10840"	"LOC_Os07g10840"	"uncharacterized glycosyltransferase, putative, expressed"
6.685654640197754	1.2990721101840917E-4	8.375128485161614E-4	"LOC_Os04g40990"	"LOC_Os04g40990"	"LOC_Os04g40990"	"malate synthase, glyoxysomal, putative, expressed"
6.4654684364795685	3.0300527084350014E-7	6.635900462837415E-6	"LOC_Os11g26780"	"LOC_Os11g26780"	"LOC_Os11g26780"	"dehydrin, putative, expressed"
6.421217083930969	4.841871385870471E-8	1.8686235131178928E-6	"LOC_Os06g46740"	"LOC_Os06g46740"	"LOC_Os06g46740"	"early nodulin 20 precursor, putative, expressed"
6.372385621070862	7.549406103505834E-6	7.876791352007382E-5	"LOC_Os07g05365"	"LOC_Os07g05365"	"LOC_Os07g05365"	"photosystem II 10 kDa polypeptide, chloroplast precursor, putative, expressed"
6.3554893136024475	8.024396463263613E-6	8.281667189566721E-5	"LOC_Os03g22680"	"LOC_Os03g22680"	"LOC_Os03g22680"	"RING finger and CHY zinc finger domain-containing protein 1, putative, expressed"
6.01609468460083	7.628609188304477E-10	1.295552358021407E-7	"LOC_Os01g16170"	"LOC_Os01g16170"	"LOC_Os01g16170"	"PQ loop repeat domain containing protein, expressed"
5.975036382675171	3.999134108165566E-9	3.434251690699533E-7	"LOC_Os05g38290"	"LOC_Os05g38290"	"LOC_Os05g38290"	"protein phosphatase 2C, putative, expressed"
5.866301752626896	8.587082918675714E-9	5.614692968604315E-7	"LOC_Os05g46480"	"LOC_Os05g46480"	"LOC_Os05g46480"	"late embryogenesis abundant protein, group 3, putative, expressed"
5.8403990268707275	8.992116892680237E-8	2.7805745486777137E-6	"LOC_Os11g02369"	"LOC_Os11g02369"	"LOC_Os11g02369"	"LTPL7 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
5.732734680175781	2.267465322801401E-9	2.474157034562556E-7	"LOC_Os01g45640"	"LOC_Os01g45640"	"LOC_Os01g45640"	"tat pathway signal sequence family protein, expressed"
5.622476100921631	1.967002560061365E-8	1.0190483473089238E-6	"LOC_Os11g15040"	"LOC_Os11g15040"	"LOC_Os11g15040"	"S-adenosyl-L-methionine:benzoic acid/salicylic acid carboxyl methyltransferase, putative, expressed"
5.5800886154174805	5.932888855420391E-5	4.316251305474387E-4	"LOC_Os05g06780"	"LOC_Os05g06780"	"LOC_Os05g06780"	"LTPL104 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
5.496825337409973	4.448011927727737E-6	5.163660917007474E-5	"LOC_Os12g02310"	"LOC_Os12g02310"	"LOC_Os12g02310"	"LTPL11 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
