LOC_Os05g33270.1	AT1G54790.2
LOC_Os12g39850.1	AT4G33880.1
LOC_Os09g24700.1	AT5G39785.2
LOC_Os12g06560.1	AT5G09840.1
LOC_Os02g52700.1	AT4G25000.1
LOC_Os02g13950.1	AT3G14860.2
LOC_Os01g52630.1	AT5G11580.1
LOC_Os07g34740.1	AT3G01160.1
LOC_Os03g55240.1	AT4G37320.1
LOC_Os02g47670.1	AT1G24330.1
LOC_Os07g47210.1	AT2G23540.1
LOC_Os10g25550.1	AT2G05940.1
LOC_Os08g35600.1	AT2G05940.1
LOC_Os05g49040.1	AT2G30890.1
LOC_Os02g19130.1	AT1G15910.1
LOC_Os03g29410.1	AT2G05940.1
LOC_Os10g42180.1	AT4G17970.1
LOC_Os12g41630.1	AT3G48880.1
LOC_Os08g06190.1	AT5G44390.1
LOC_Os05g41090.1	AT5G23580.1
LOC_Os01g58194.1	AT1G60420.1
LOC_Os12g10460.1	AT3G14460.1
LOC_Os05g01430.1	AT5G06860.1
LOC_Os09g39520.1	AT1G02335.1
LOC_Os07g07170.1	AT2G32300.1
LOC_Os02g21580.1	AT1G09900.1
LOC_Os11g05820.1	AT3G52490.1
LOC_Os02g39064.1	AT1G65480.1
LOC_Os03g21060.1	AT1G69490.1
LOC_Os08g28970.1	AT5G46060.1
LOC_Os02g55310.1	AT5G27460.1
LOC_Os02g56480.1	AT5G64430.1
LOC_Os07g37950.1	AT1G52900.1
LOC_Os02g17470.1	AT4G28990.2
LOC_Os02g30110.1	AT4G37320.1
LOC_Os01g55580.1	AT4G29000.1
LOC_Os06g20870.1	AT3G09040.1
LOC_Os04g18380.1	AT4G37370.1
LOC_Os04g35540.1	AT2G01170.1
LOC_Os08g06170.1	AT5G44400.1
LOC_Os09g39530.1	AT1G02335.1
LOC_Os03g12890.1	AT3G49680.1
LOC_Os11g02150.1	AT3G51730.1
LOC_Os06g35200.1	AT5G45800.1
LOC_Os01g59730.1	AT1G36240.1
LOC_Os07g45260.1	AT3G06260.1
LOC_Os12g31710.1	AT1G69080.1
LOC_Os02g40530.1	AT4G13480.1
LOC_Os12g02094.1	AT3G51730.1
LOC_Os08g27850.1	AT2G42680.1
LOC_Os02g34570.1	AT3G60500.1
LOC_Os01g12930.1	AT3G06880.2
LOC_Os02g07750.1	AT3G12740.1
LOC_Os06g10160.1	AT2G05940.1
LOC_Os12g32680.1	AT3G14460.1
LOC_Os09g29100.1	AT5G65420.3
LOC_Os12g32660.1	AT3G14460.1
LOC_Os04g43360.1	AT1G61820.1
LOC_Os04g21160.1	AT5G14180.1
LOC_Os03g61740.1	AT3G29260.1
LOC_Os03g06654.1	AT1G04610.1
LOC_Os02g30150.1	AT3G14470.1
LOC_Os05g02350.1	AT2G37440.1
LOC_Os03g08170.1	AT2G05940.1
LOC_Os09g28400.1	AT4G25000.1
LOC_Os02g30090.1	AT4G37320.1
LOC_Os05g26840.1	AT3G10960.1
LOC_Os02g30080.1	AT4G37320.1
LOC_Os05g44330.1	AT4G34020.1
LOC_Os06g08120.1	AT3G02645.1
LOC_Os08g36910.1	AT4G25000.1
LOC_Os04g25990.1	AT5G14600.1
LOC_Os04g47190.1	AT3G49680.1
LOC_Os09g22450.1	AT3G48090.1
LOC_Os09g27010.1	AT2G05940.1
LOC_Os04g44190.1	AT3G01440.1
LOC_Os07g38070.1	AT2G37050.3
LOC_Os05g32730.1	AT1G09900.1
LOC_Os04g43410.1	AT4G21760.1
LOC_Os04g33980.1	AT3G52490.1
LOC_Os05g09740.1	AT4G25150.1
LOC_Os08g17080.1	AT1G80880.1
LOC_Os02g48600.1	AT3G57930.1
LOC_Os05g10210.1	AT4G25150.1
LOC_Os06g11410.1	AT5G65420.3
LOC_Os10g28710.1	AT4G02715.1
LOC_Os06g20050.1	AT3G14470.1
LOC_Os07g48460.1	AT2G39050.1
LOC_Os03g24510.1	AT3G06260.1
LOC_Os08g36900.1	AT4G25000.1
LOC_Os11g09329.1	AT1G21380.1
LOC_Os11g24060.1	AT5G50300.1
LOC_Os12g39620.1	AT4G33300.1
LOC_Os04g43390.1	AT4G21760.1
LOC_Os05g39800.1	AT2G30300.1
LOC_Os05g51130.1	AT3G50930.1
LOC_Os01g11120.1	AT3G14450.1
LOC_Os03g42100.1	AT4G33880.1
LOC_Os09g28420.1	AT4G25000.1
LOC_Os02g14480.1	AT5G45800.1
LOC_Os05g09724.1	AT4G25150.1
LOC_Os03g39520.1	AT3G02645.1
LOC_Os03g60610.1	AT3G46450.2
LOC_Os02g52710.1	AT4G25000.1
LOC_Os01g42030.1	AT3G50930.1
LOC_Os12g10340.1	AT3G14460.1
LOC_Os04g43290.1	AT2G33385.2
LOC_Os05g41540.1	AT2G16770.1
LOC_Os03g17590.1	AT3G45740.1
LOC_Os05g09704.1	AT5G51260.1
LOC_Os07g29780.1	AT4G00460.2
LOC_Os01g44230.1	AT3G48670.1
LOC_Os06g39660.1	AT5G11330.1
LOC_Os06g28590.1	AT1G24330.1
LOC_Os06g45430.1	AT1G54320.1
LOC_Os04g34010.1	AT3G11680.1
LOC_Os04g25360.1	AT5G14600.1
LOC_Os02g56020.1	AT5G57280.1
LOC_Os01g59120.1	AT3G11520.1
LOC_Os01g61010.1	AT2G30300.1
LOC_Os02g53750.1	AT2G05940.1
LOC_Os09g23110.1	AT1G05030.1
LOC_Os06g10520.1	AT4G32180.1
LOC_Os12g10710.1	AT3G14470.1
LOC_Os02g51540.1	AT5G10080.1
LOC_Os02g30100.1	AT4G37320.1
LOC_Os07g42200.1	AT2G05940.1
LOC_Os03g57730.1	AT3G27200.1
LOC_Os01g55860.1	AT1G69380.1
LOC_Os05g45310.1	AT1G29330.1
LOC_Os05g01380.1	AT5G06860.1
LOC_Os04g58070.1	AT3G20015.1
LOC_Os03g21520.1	AT2G38580.1
LOC_Os04g30930.1	AT3G14470.1
LOC_Os12g10180.1	AT3G14470.1
LOC_Os05g33550.1	AT4G22745.1
LOC_Os01g58850.1	AT3G63060.1
LOC_Os10g40270.1	AT4G00460.2
LOC_Os08g25490.1	AT5G44400.1
LOC_Os03g46300.1	AT3G22540.1
LOC_Os03g46460.1	AT1G79120.1
LOC_Os11g14080.1	AT5G27730.1
LOC_Os03g55260.1	AT4G37330.1
LOC_Os04g47170.1	AT4G00460.2
