"Log-ratio"	"p-value"	"minFDR"	"Gene Symbol"	"Gene"	"Measure"	"Description"
6.4966721534729	3.4749302423210744E-5	0.001529244803022487	"ARD1"	"AT2G26400"	"AT2G26400"	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 1 [Source:UniProtKB/Swiss-Prot;Acc:O48707]"
6.321677207946777	6.339424372839199E-4	0.005003520567885377	"PR1"	"AT2G14610"	"AT2G14610"	"Pathogenesis-related protein 1 [Source:UniProtKB/Swiss-Prot;Acc:P33154]"
6.0804020166397095	3.8283752944052855E-4	0.003724757662349411	""	"AT4G10860"	"AT4G10860"	""
6.071609258651733	3.6769112352516904E-5	0.0015519618584425136	"ABCG40"	"AT1G15520"	"AT1G15520"	"ABC transporter G family member 40 [Source:UniProtKB/Swiss-Prot;Acc:Q9M9E1]"
6.069968223571777	1.4784627524590516E-5	0.001465758154081442	"ZAT8"	"AT3G46080"	"AT3G46080"	"Zinc finger protein ZAT8 [Source:UniProtKB/Swiss-Prot;Acc:Q9LX85]"
6.0436789989471436	1.107341389040978E-5	0.0014354086645719016	""	"AT1G33950"	"AT1G33950"	""
6.011172771453857	2.815080356158198E-5	0.0015064463007036539	"SAG13"	"AT2G29350"	"AT2G29350"	"Senescence-associated protein 13 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZW18]"
5.999493598937988	5.895946404697234E-5	0.001703365208611375	"PME17"	"AT2G45220"	"AT2G45220"	"Probable pectinesterase/pectinesterase inhibitor 17 [Source:UniProtKB/Swiss-Prot;Acc:O22149]"
5.947256565093994	7.387990827642826E-6	0.0014354086645719016	""	"AT3G22600"	"AT3G22600"	""
5.897506952285767	5.723978588064368E-5	0.0016924590815445336	"GSTU8"	"AT3G09270"	"AT3G09270"	"Glutathione S-transferase U8 [Source:UniProtKB/Swiss-Prot;Acc:Q9SR36]"
5.88139808177948	1.1739296532536348E-5	0.0014418470801535114	"YLS9"	"AT2G35980"	"AT2G35980"	"Protein YLS9 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJ52]"
5.8594754338264465	1.828117843311578E-4	0.0025478197780289297	""	"AT3G13433"	"AT3G13433"	""
5.839570999145508	3.3773592239952057E-5	0.00152916259530016	"XTH10"	"AT2G14620"	"AT2G14620"	"Probable xyloglucan endotransglucosylase/hydrolase protein 10 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZVK1]"
5.831982135772705	1.644619492425453E-4	0.002425954290876615	"AIG1"	"AT1G33960"	"AT1G33960"	"Protein AIG1 [Source:UniProtKB/Swiss-Prot;Acc:P54120]"
5.782526284456253	4.154296603567923E-4	0.003879811079467763	"WRKY75"	"AT5G13080"	"AT5G13080"	"Probable WRKY transcription factor 75 [Source:UniProtKB/Swiss-Prot;Acc:Q9FYA2]"
